"1 Column (Stacked)","1 Column (Stacked)"
"1 file attached","1 file attached"
"2 Columns (Content + Sidebar)","2 Columns (Content + Sidebar)"
"3 Columns (Shipping | Payment | Summary)","3 Columns (Shipping | Payment | Summary)"
"Accent Color","Accent Color"
"Apply","Apply"
"Apply Discount Code","Apply Discount Code"
"Are you sure you want to remove this item from your cart?","Are you sure you want to remove this item from your cart?"
"Back to Cart","Back to Cart"
"Billing","Billing"
"Border Radius (px)","Border Radius (px)"
"Bordered","Bordered"
"Card Style","Card Style"
"Cart","Cart"
"Cart & Order Summary","Cart & Order Summary"
"Checkbox Label","Checkbox Label"
"Checked by Default","Checked by Default"
"Checkout","Checkout"
"Checkout Extended","Checkout Extended"
"Checkout progress","Checkout progress"
"Columns","Columns"
"Compact (Multiple Fields Per Row)","Compact (Multiple Fields Per Row)"
"Compact (multiple fields per row) or Full Width (one field per row)","Compact (multiple fields per row) or Full Width (one field per row)"
"Confirmation","Confirmation"
"Corner radius for cards and form elements, in pixels","Corner radius for cards and form elements, in pixels"
"Custom CSS","Custom CSS"
"Custom Code","Custom Code"
"Custom JS","Custom JS"
"Decrease quantity","Decrease quantity"
"Default Payment Method","Default Payment Method"
"Default Shipping Method","Default Shipping Method"
"Disabled","Disabled"
"Display the product SKU below each item name","Display the product SKU below each item name"
"Elevated (Shadow)","Elevated (Shadow)"
"Enable Checkout Extended","Enable Checkout Extended"
"Enable Newsletter Checkbox","Enable Newsletter Checkbox"
"Enable the modern multi-column checkout layout with all extended features","Enable the modern multi-column checkout layout with all extended features"
"Enter discount code","Enter discount code"
"Field Mode","Field Mode"
"Flat (No Border)","Flat (No Border)"
"Form Styles","Form Styles"
"Full Width (One Field Per Row)","Full Width (One Field Per Row)"
"General","General"
"Glassmorphism","Glassmorphism"
"Hide Single Method","Hide Single Method"
"Hide the radio selector when only one shipping method is available","Hide the radio selector when only one shipping method is available"
"Increase quantity","Increase quantity"
"Injected as an inline <style> block at checkout. Do not include <style> tags.","Injected as an inline <style> block at checkout. Do not include <style> tags."
"Injected via require([], function() { ... }) at checkout. Do not include <script> tags.","Injected via require([], function() { ... }) at checkout. Do not include <script> tags."
"Keep the order summary sidebar visible as the customer scrolls","Keep the order summary sidebar visible as the customer scrolls"
"Layout","Layout"
"Left","Left"
"Link order summary item names to their product page","Link order summary item names to their product page"
"Newsletter Subscription","Newsletter Subscription"
"Number of checkout columns: 1 (stacked), 2 (content + sidebar), or 3 (shipping | payment | summary)","Number of checkout columns: 1 (stacked), 2 (content + sidebar), or 3 (shipping | payment | summary)"
"Optional (Checkbox)","Optional (Checkbox)"
"Payment","Payment"
"Place Order","Place Order"
"Place the order summary sidebar on the left or right","Place the order summary sidebar on the left or right"
"Placing Your Order","Placing Your Order"
"Please wait and do not close or refresh this page...","Please wait and do not close or refresh this page..."
"Pre-select a payment method by code, e.g. checkmo. Leave empty for none.","Pre-select a payment method by code, e.g. checkmo. Leave empty for none."
"Pre-select a shipping method by code, e.g. flatrate_flatrate. Leave empty for none.","Pre-select a shipping method by code, e.g. flatrate_flatrate. Leave empty for none."
"Primary color for buttons, links and highlights (hex, e.g. #1a1a2e)","Primary color for buttons, links and highlights (hex, e.g. #1a1a2e)"
"Processing...","Processing..."
"Product Link","Product Link"
"Qty Increment Controls","Qty Increment Controls"
"Remove","Remove"
"Required","Required"
"Right","Right"
"Secure checkout","Secure checkout"
"Shipping","Shipping"
"Show +/- quantity buttons in the order summary","Show +/- quantity buttons in the order summary"
"Show Billing Title","Show Billing Title"
"Show SKU","Show SKU"
"Show Tooltips","Show Tooltips"
"Show newsletter subscription option during checkout","Show newsletter subscription option during checkout"
"Show numbered step badges above each checkout section","Show numbered step badges above each checkout section"
"Show or hide the ""Billing Address"" section title","Show or hide the ""Billing Address"" section title"
"Show placeholder text inside form fields","Show placeholder text inside form fields"
"Show tooltip icons with help text next to fields","Show tooltip icons with help text next to fields"
"Sidebar Position","Sidebar Position"
"Sort by Price","Sort by Price"
"Sort shipping methods low-to-high by price","Sort shipping methods low-to-high by price"
"Step Indicators","Step Indicators"
"Sticky Sidebar","Sticky Sidebar"
"Style","Style"
"Subscribe to Newsletter","Subscribe to Newsletter"
"Subscribe to our newsletter","Subscribe to our newsletter"
"Use Placeholders","Use Placeholders"
"View Details","View Details"
